Timestamp,Informed Consent,What is your age?,Please select your gender,Do you have any significant uncorrected impairments affecting your vision? ,Do you have any significant  uncorrected  impairments affecting your hearing?  ,Do you have any significant uncorrected impairments affecting your movement?   ,"What Degree are you Studying? If you have completed your study, please indicate the subject of your degree. If you have not undertaken a degree please put N/A.",Have you interacted with a robot before? ,"If yes, what kind of robot(s) have you interacted with? (select all that apply) ",How frequently do you interact with robots in your daily life? ,How would you rate your overall interest in Robotics and AI technology?,How comfortable are you being near a robot? (e.g. walking past one),What is the closest distance that you would feel comfortable standing next to a robot?,Would you be comfortable if a robot approached you in a public setting? (e.g. museum or airport),Would you trust a robot to guide you around a museum so it can explain artwork to you?,Would you follow a robot that was guiding to a destination? ,What would make you feel more comfortable interacting with a robot guide? (Select all that apply),"Have you ever seen or interacted with a robot in a public space? (e.g. Shopping centre, museum, hospital)","If yes, what was your impression of that robot?",Do you think robots can improve the visitor experience in museums? Why or why not?  ,Do you have any concerns about robots in public or social environments? 
8/28/2025 18:30:32,I consent to participate in the survey,18-22,Female,No,No,No,music,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Rarely (few times a year),2,4,less than 0.5 meters,Depends on how the robot behaves,Maybe,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions, Human supervision nearby",Yes - Interacted with one,Neutral,"if it makes things more efficient, yes.",n/a
8/28/2025 18:34:46,I consent to participate in the survey,18-22,Male,No,Yes,No,Bachelor of Engineering (Honours) in Mechatronics and Bachelor of Information Technology in Computer Science,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Ossasionally (once a month),6,6,less than 0.5 meters,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",Yes - saw one but did not interact,Positive,"I think it would help keep the flow of information consistent and might have a wider breadth of knowledge, but for a role such as a visitor experience assistant in a museum I don't believe it's entirely going to improve upon what we already have in place with human workers, who give that extra human touch to the understanding of the artwork and the humanity behind it. ",Not that come to mind. 
8/28/2025 18:48:50,I consent to participate in the survey,18-22,Male,No,No,No,N/A,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Rarely (few times a year),4,6,0.5 - 1 meter,Yes,Maybe,"Yes, I would follow","Clear instuctions on the screen, Ability to ask questions",Yes - saw one but did not interact,Neutral,"Museums are a very specific topic, to which I would say very minimally. I see museums as places with which art, technology, and nature are shared, and as such there has been a significant human component in each of those aspects. Often, human guides around these places have a personal interest in what they are showing and result in a much more enriched environment while learned about the artefacts contained inside. While I just don’t believe a robot would be able to replicate the experience, I do not deny the advantage of the robot being able to retain a far greater amount of information about the topics being shown. Of the three categories I listed above, I believe they would be most suited in nature based museums, like astrology centres or something like a dinosaur exhibit, with drastically decreasing approval in technological and especially art based museums. ","Currently, general clumsiness is my largest concern, however being very situationally aware I do not believe it would affect me personally. Additionally, a misunderstanding of questions asked to it would very quickly lead to frustration from the questioning parties. "
8/28/2025 18:55:49,I consent to participate in the survey,23-27,Female,Yes,No,Yes,Dual in engineering and business ,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), Industrial robot (e.g. Robotic arms, factory robots), Delivery robot (e.g. Food, mail), Recreational robots ",Frequently (once a week or more),5,6,I am not sure/ depends on the situation,Depends on how the robot behaves,Yes,"Depends on how long it was guiding for and speed, but probably ","Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions, Human supervision nearby, Ability to change speeds, human supervision factor depends what exactly it was trying to achieve ",Yes - Interacted with one,Neutral,"Yes, but equally can hinder it. I think speed and ability to interact and ensure understanding are a big factor. Smart responses instead of just logic script like responses are probably more positive ","Yes in terms of if we rely on them completely if they will be accessible for users especially if they were to have a disability, so catering to diverse needs I think needs to be done cautiously and informed and developed closely by people with disability "
8/28/2025 19:05:12,I consent to participate in the survey,18-22,Female,No,No,No,Electrical engineering ,Yes,"Industrial robot (e.g. Robotic arms, factory robots), The robot in the advanced robotics class",Rarely (few times a year),4,6,less than 0.5 meters,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions",Yes - saw one but did not interact,Positive,Yes it give me the option to not use my social battery.,No
8/28/2025 19:18:23,I consent to participate in the survey,18-22,Female,No,No,No,Bachelor of Engineering ,Yes,"Industrial robot (e.g. Robotic arms, factory robots)",Rarely (few times a year),6,5,I am not sure/ depends on the situation,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Slow and careful movements, Human supervision nearby",Yes - Interacted with one,Positive,I think it depends on the situation. I think a robot would be fantastic in the experience on museum trips for schools and tourists but I think they would likely not be suited to a place like an art museum. Art museums are typically quiet places and I feel it somewhat takes away from the building that represents human artistry. I do think in airports it would be fantastic especially for visitors who may not speak the native language ,"I think the main concern is malfunction. If a robot is going to be in places with fragile objects, precautions should be taken in the event a robot goes off track"
8/28/2025 20:28:13,I consent to participate in the survey,18-22,Female,No,No,No,Bachelor of Engineering ,Yes,"AI Home assistant (e.g. Alexa, Google Home), Industrial robot (e.g. Robotic arms, factory robots)",Ossasionally (once a month),5,6,0.5 - 1 meter,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",Yes - Interacted with one,Neutral,Good way to learn about artworks/pieces when human tours are unavailable. ,Would only be concerned if the robot acts/behaves in a way that seems dangerous especially if it’s a busy environment 
8/28/2025 20:57:24,I consent to participate in the survey,23-27,Female,No,No,No,Mechatronics Engineering,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), Industrial robot (e.g. Robotic arms, factory robots), Delivery robot (e.g. Food, mail)",Frequently (once a week or more),6,6,0.5 - 1 meter,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Ability to ask questions, Clear safety features eg. E stop",Yes - Interacted with one,Positive,"I would say they would be a novel experience, more something that I would ask questions/interact with rather than a guide","No, the more robots the better :)"
8/28/2025 20:59:14,I consent to participate in the survey,23-27,Male,No,No,No,Bachelor of Engineering ,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), Industrial robot (e.g. Robotic arms, factory robots), Delivery robot (e.g. Food, mail)",Frequently (once a week or more),6,6,0.5 - 1 meter,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Ability to ask questions",Yes - Interacted with one,Neutral,"Yes, it would help me understand the art work and feel like a more immersive experience rather than reading notes off a board.",No
8/28/2025 21:15:26,I consent to participate in the survey,18-22,Female,No,No,No,Bachelor of Advanced Business,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Ossasionally (once a month),2,4,I am not sure/ depends on the situation,No,Yes,"depends on the context, is this something i sought out?","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions, Human supervision nearby",No,Not applicable,convenient and streamlined,yes they’re unsettling
